payment_id,recipient_name,recipient_iban,amount,currency,payment_reference
100479,Recipient 100479,DE00000000000000100479,967.29,USD,Invoice 100479
100878,Recipient 100878,DE00000000000000100878,4716.64,EUR,Invoice 100878
100993,Recipient 100993,DE00000000000000100993,2989.99,XXX,Invalid currency 100993
100918,Recipient 100918,DE00000000000000100918,46529.19,EUR,Invoice 100918
100124,Recipient 100124,DE00000000000000100124,934.76,EUR,Invoice 100124
100605,Recipient 100605,DE00000000000000100605,21.84,USD,Invoice 100605
100802,Recipient 100802,DE00000000000000100802,4114.20,USD,Invoice 100802
100668,Recipient 100668,DE00000000000000100668,721.45,EUR,Invoice 100668
100872,Recipient 100872,DE00000000000000100872,7492.59,USD,Invoice 100872
100544,Recipient 100544,DE00000000000000100544,852.93,EUR,Invoice 100544
100901,Recipient 100901,DE00000000000000100901,36238.88,USD,Invoice 100901
100063,Recipient 100063,DE00000000000000100063,841.82,EUR,Invoice 100063
100091,Recipient 100091,DE00000000000000100091,807.68,EUR,Invoice 100091
100126,Recipient 100126,DE00000000000000100126,239.44,USD,Invoice 100126
100057,Recipient 100057,DE00000000000000100057,112.44,USD,Invoice 100057
100270,Recipient 100270,DE00000000000000100270,606.28,EUR,Invoice 100270
100504,Recipient 100504,DE00000000000000100504,544.92,USD,Invoice 100504
100348,Recipient 100348,DE00000000000000100348,288.81,USD,Invoice 100348
100004,Recipient 100004,DE00000000000000100004,677.02,EUR,Invoice 100004
100160,Recipient 100160,DE00000000000000100160,682.38,EUR,Invoice 100160
100367,Recipient 100367,DE00000000000000100367,916.15,EUR,Invoice 100367
100030,Recipient 100030,DE00000000000000100030,702.11,EUR,Invoice 100030
100257,Recipient 100257,DE00000000000000100257,278.98,USD,Invoice 100257
100074,Recipient 100074,DE00000000000000100074,946.89,EUR,Invoice 100074
100256,Recipient 100256,DE00000000000000100256,761.46,USD,Invoice 100256
100373,Recipient 100373,DE00000000000000100373,857.87,USD,Invoice 100373
100480,Recipient 100480,DE00000000000000100480,91.21,USD,Invoice 100480
100130,Recipient 100130,DE00000000000000100130,74.19,EUR,Invoice 100130
100156,Recipient 100156,DE00000000000000100156,582.92,EUR,Invoice 100156
100766,Recipient 100766,DE00000000000000100766,3246.50,EUR,Invoice 100766
100134,Recipient 100134,DE00000000000000100134,285.70,USD,Invoice 100134
100849,Recipient 100849,DE00000000000000100849,4262.71,USD,Invoice 100849
100042,Recipient 100042,DE00000000000000100042,143.73,EUR,Invoice 100042
100084,Recipient 100084,DE00000000000000100084,71.92,EUR,Invoice 100084
100465,Recipient 100465,DE00000000000000100465,34.33,USD,Invoice 100465
100998,Recipient 100998,DE00000000000000100998,1376.49,XXX,Invalid currency 100998
100066,Recipient 100066,DE00000000000000100066,599.34,USD,Invoice 100066
100080,Recipient 100080,DE00000000000000100080,121.88,EUR,Invoice 100080
100040,Recipient 100040,DE00000000000000100040,213.41,USD,Invoice 100040
100305,Recipient 100305,DE00000000000000100305,448.72,EUR,Invoice 100305
100371,Recipient 100371,DE00000000000000100371,348.61,USD,Invoice 100371
100402,Recipient 100402,DE00000000000000100402,340.53,USD,Invoice 100402
100528,Recipient 100528,DE00000000000000100528,513.72,EUR,Invoice 100528
100955,Recipient 100955,DE00000000000000100955,-680.61,EUR,Invalid amount 100955
100413,Recipient 100413,DE00000000000000100413,705.52,USD,Invoice 100413
100840,Recipient 100840,DE00000000000000100840,6250.09,EUR,Invoice 100840
100539,Recipient 100539,DE00000000000000100539,66.62,USD,Invoice 100539
100689,Recipient 100689,DE00000000000000100689,930.53,USD,Invoice 100689
100484,Recipient 100484,DE00000000000000100484,109.24,EUR,Invoice 100484
100486,Recipient 100486,DE00000000000000100486,915.33,EUR,Invoice 100486
101000,Recipient 101000,DE00000000000000101000,4557.98,XXX,Invalid currency 101000
100147,Recipient 100147,DE00000000000000100147,93.21,USD,Invoice 100147
100482,Recipient 100482,DE00000000000000100482,455.33,USD,Invoice 100482
100221,Recipient 100221,DE00000000000000100221,667.90,USD,Invoice 100221
100051,Recipient 100051,DE00000000000000100051,596.81,USD,Invoice 100051
100008,Recipient 100008,DE00000000000000100008,561.68,USD,Invoice 100008
100664,Recipient 100664,DE00000000000000100664,508.18,EUR,Invoice 100664
100379,Recipient 100379,DE00000000000000100379,970.20,USD,Invoice 100379
100575,Recipient 100575,DE00000000000000100575,376.81,USD,Invoice 100575
100120,Recipient 100120,DE00000000000000100120,404.37,EUR,Invoice 100120
100009,Recipient 100009,DE00000000000000100009,221.22,USD,Invoice 100009
100300,Recipient 100300,DE00000000000000100300,280.38,USD,Invoice 100300
100260,Recipient 100260,DE00000000000000100260,999.90,USD,Invoice 100260
100875,Recipient 100875,DE00000000000000100875,1284.13,EUR,Invoice 100875
100129,Recipient 100129,DE00000000000000100129,10.31,EUR,Invoice 100129
100529,Recipient 100529,DE00000000000000100529,452.55,EUR,Invoice 100529
100643,Recipient 100643,DE00000000000000100643,388.03,USD,Invoice 100643
100527,Recipient 100527,DE00000000000000100527,476.76,USD,Invoice 100527
100912,Recipient 100912,DE00000000000000100912,29097.94,EUR,Invoice 100912
100297,Recipient 100297,DE00000000000000100297,851.09,EUR,Invoice 100297
100893,Recipient 100893,DE00000000000000100893,22681.63,USD,Invoice 100893
100054,Recipient 100054,DE00000000000000100054,680.60,EUR,Invoice 100054
100968,Recipient 100968,,1872.93,USD,Missing iban 100968
100883,Recipient 100883,DE00000000000000100883,31019.09,USD,Invoice 100883
100111,Recipient 100111,DE00000000000000100111,155.64,USD,Invoice 100111
100509,Recipient 100509,DE00000000000000100509,642.06,EUR,Invoice 100509
100593,Recipient 100593,DE00000000000000100593,764.39,USD,Invoice 100593
100934,Recipient 100934,DE00000000000000100934,41630.71,EUR,Invoice 100934
100881,Recipient 100881,DE00000000000000100881,38231.01,EUR,Invoice 100881
100436,Recipient 100436,DE00000000000000100436,431.25,EUR,Invoice 100436
100641,Recipient 100641,DE00000000000000100641,990.99,EUR,Invoice 100641
100574,Recipient 100574,DE00000000000000100574,92.67,EUR,Invoice 100574
100754,Recipient 100754,DE00000000000000100754,1675.37,USD,Invoice 100754
100885,Recipient 100885,DE00000000000000100885,46484.97,USD,Invoice 100885
100483,Recipient 100483,DE00000000000000100483,584.97,USD,Invoice 100483
100552,Recipient 100552,DE00000000000000100552,94.14,EUR,Invoice 100552
100956,Recipient 100956,DE00000000000000100956,-898.99,EUR,Invalid amount 100956
100029,Recipient 100029,DE00000000000000100029,210.30,USD,Invoice 100029
100761,Recipient 100761,DE00000000000000100761,6445.85,USD,Invoice 100761
100372,Recipient 100372,DE00000000000000100372,321.73,EUR,Invoice 100372
100814,Recipient 100814,DE00000000000000100814,6562.97,EUR,Invoice 100814
100245,Recipient 100245,DE00000000000000100245,488.74,USD,Invoice 100245
100558,Recipient 100558,DE00000000000000100558,868.22,EUR,Invoice 100558
100655,Recipient 100655,DE00000000000000100655,813.36,EUR,Invoice 100655
100298,Recipient 100298,DE00000000000000100298,488.06,USD,Invoice 100298
100131,Recipient 100131,DE00000000000000100131,506.37,EUR,Invoice 100131
100920,Recipient 100920,DE00000000000000100920,47356.90,EUR,Invoice 100920
100494,Recipient 100494,DE00000000000000100494,389.25,USD,Invoice 100494
100611,Recipient 100611,DE00000000000000100611,870.65,USD,Invoice 100611
100603,Recipient 100603,DE00000000000000100603,709.78,USD,Invoice 100603
100388,Recipient 100388,DE00000000000000100388,122.30,EUR,Invoice 100388
100396,Recipient 100396,DE00000000000000100396,416.07,USD,Invoice 100396
100240,Recipient 100240,DE00000000000000100240,856.87,USD,Invoice 100240
100615,Recipient 100615,DE00000000000000100615,906.01,USD,Invoice 100615
100064,Recipient 100064,DE00000000000000100064,153.68,EUR,Invoice 100064
100906,Recipient 100906,DE00000000000000100906,35517.78,EUR,Invoice 100906
100778,Recipient 100778,DE00000000000000100778,7010.55,EUR,Invoice 100778
100873,Recipient 100873,DE00000000000000100873,2534.61,USD,Invoice 100873
100382,Recipient 100382,DE00000000000000100382,413.83,EUR,Invoice 100382
100266,Recipient 100266,DE00000000000000100266,127.09,EUR,Invoice 100266
100151,Recipient 100151,DE00000000000000100151,162.42,USD,Invoice 100151
100242,Recipient 100242,DE00000000000000100242,299.31,USD,Invoice 100242
100628,Recipient 100628,DE00000000000000100628,311.09,USD,Invoice 100628
100563,Recipient 100563,DE00000000000000100563,350.76,USD,Invoice 100563
100899,Recipient 100899,DE00000000000000100899,48212.55,EUR,Invoice 100899
100493,Recipient 100493,DE00000000000000100493,887.36,EUR,Invoice 100493
100856,Recipient 100856,DE00000000000000100856,7794.68,EUR,Invoice 100856
100561,Recipient 100561,DE00000000000000100561,155.57,USD,Invoice 100561
100757,Recipient 100757,DE00000000000000100757,8638.02,USD,Invoice 100757
100507,Recipient 100507,DE00000000000000100507,949.05,USD,Invoice 100507
100908,Recipient 100908,DE00000000000000100908,38694.32,EUR,Invoice 100908
100978,Recipient 100978,,1238.31,USD,Missing iban 100978
100241,Recipient 100241,DE00000000000000100241,477.50,USD,Invoice 100241
100216,Recipient 100216,DE00000000000000100216,778.63,EUR,Invoice 100216
100489,Recipient 100489,DE00000000000000100489,649.58,EUR,Invoice 100489
100684,Recipient 100684,DE00000000000000100684,285.78,EUR,Invoice 100684
100145,Recipient 100145,DE00000000000000100145,505.90,USD,Invoice 100145
100835,Recipient 100835,DE00000000000000100835,5484.38,USD,Invoice 100835
100794,Recipient 100794,DE00000000000000100794,6781.04,USD,Invoice 100794
100037,Recipient 100037,DE00000000000000100037,805.23,USD,Invoice 100037
100289,Recipient 100289,DE00000000000000100289,616.29,USD,Invoice 100289
100585,Recipient 100585,DE00000000000000100585,755.18,EUR,Invoice 100585
100745,Recipient 100745,DE00000000000000100745,5909.26,USD,Invoice 100745
100036,Recipient 100036,DE00000000000000100036,229.82,EUR,Invoice 100036
100735,Recipient 100735,DE00000000000000100735,3575.00,EUR,Invoice 100735
100474,Recipient 100474,DE00000000000000100474,746.81,USD,Invoice 100474
100708,Recipient 100708,DE00000000000000100708,6370.65,EUR,Invoice 100708
100190,Recipient 100190,DE00000000000000100190,623.53,EUR,Invoice 100190
100648,Recipient 100648,DE00000000000000100648,284.86,EUR,Invoice 100648
100838,Recipient 100838,DE00000000000000100838,9507.09,USD,Invoice 100838
100787,Recipient 100787,DE00000000000000100787,5206.65,EUR,Invoice 100787
100342,Recipient 100342,DE00000000000000100342,625.88,USD,Invoice 100342
100019,Recipient 100019,DE00000000000000100019,973.13,USD,Invoice 100019
100732,Recipient 100732,DE00000000000000100732,9400.33,USD,Invoice 100732
100198,Recipient 100198,DE00000000000000100198,406.67,EUR,Invoice 100198
100178,Recipient 100178,DE00000000000000100178,679.83,USD,Invoice 100178
100263,Recipient 100263,DE00000000000000100263,754.47,EUR,Invoice 100263
100636,Recipient 100636,DE00000000000000100636,501.86,EUR,Invoice 100636
100414,Recipient 100414,DE00000000000000100414,386.69,EUR,Invoice 100414
100393,Recipient 100393,DE00000000000000100393,648.06,EUR,Invoice 100393
100724,Recipient 100724,DE00000000000000100724,5914.12,EUR,Invoice 100724
100459,Recipient 100459,DE00000000000000100459,775.96,EUR,Invoice 100459
100114,Recipient 100114,DE00000000000000100114,748.22,EUR,Invoice 100114
100366,Recipient 100366,DE00000000000000100366,471.03,USD,Invoice 100366
100133,Recipient 100133,DE00000000000000100133,879.38,USD,Invoice 100133
100999,Recipient 100999,DE00000000000000100999,4742.65,XXX,Invalid currency 100999
100152,Recipient 100152,DE00000000000000100152,552.12,USD,Invoice 100152
100281,Recipient 100281,DE00000000000000100281,661.85,EUR,Invoice 100281
100020,Recipient 100020,DE00000000000000100020,79.72,USD,Invoice 100020
100687,Recipient 100687,DE00000000000000100687,946.46,EUR,Invoice 100687
100705,Recipient 100705,DE00000000000000100705,1429.74,USD,Invoice 100705
100931,Recipient 100931,DE00000000000000100931,23227.36,USD,Invoice 100931
100025,Recipient 100025,DE00000000000000100025,855.45,EUR,Invoice 100025
100521,Recipient 100521,DE00000000000000100521,132.67,USD,Invoice 100521
100533,Recipient 100533,DE00000000000000100533,61.76,USD,Invoice 100533
100928,Recipient 100928,DE00000000000000100928,45570.40,EUR,Invoice 100928
100269,Recipient 100269,DE00000000000000100269,767.12,EUR,Invoice 100269
100598,Recipient 100598,DE00000000000000100598,500.76,USD,Invoice 100598
100194,Recipient 100194,DE00000000000000100194,554.85,EUR,Invoice 100194
100310,Recipient 100310,DE00000000000000100310,426.07,USD,Invoice 100310
100186,Recipient 100186,DE00000000000000100186,255.47,USD,Invoice 100186
100614,Recipient 100614,DE00000000000000100614,531.07,EUR,Invoice 100614
100717,Recipient 100717,DE00000000000000100717,1391.81,USD,Invoice 100717
100464,Recipient 100464,DE00000000000000100464,309.62,USD,Invoice 100464
100014,Recipient 100014,DE00000000000000100014,957.25,USD,Invoice 100014
100360,Recipient 100360,DE00000000000000100360,438.32,EUR,Invoice 100360
100230,Recipient 100230,DE00000000000000100230,440.43,USD,Invoice 100230
100804,Recipient 100804,DE00000000000000100804,2766.72,USD,Invoice 100804
100775,Recipient 100775,DE00000000000000100775,8675.43,USD,Invoice 100775
100916,Recipient 100916,DE00000000000000100916,36091.95,EUR,Invoice 100916
100293,Recipient 100293,DE00000000000000100293,279.65,USD,Invoice 100293
100093,Recipient 100093,DE00000000000000100093,354.94,USD,Invoice 100093
100272,Recipient 100272,DE00000000000000100272,964.75,EUR,Invoice 100272
100024,Recipient 100024,DE00000000000000100024,773.29,EUR,Invoice 100024
100669,Recipient 100669,DE00000000000000100669,411.44,EUR,Invoice 100669
100324,Recipient 100324,DE00000000000000100324,103.48,EUR,Invoice 100324
100818,Recipient 100818,DE00000000000000100818,3676.90,EUR,Invoice 100818
100239,Recipient 100239,DE00000000000000100239,390.08,EUR,Invoice 100239
100734,Recipient 100734,DE00000000000000100734,3279.82,EUR,Invoice 100734
100830,Recipient 100830,DE00000000000000100830,1455.45,USD,Invoice 100830
100336,Recipient 100336,DE00000000000000100336,775.91,USD,Invoice 100336
100729,Recipient 100729,DE00000000000000100729,1332.85,EUR,Invoice 100729
100177,Recipient 100177,DE00000000000000100177,351.79,USD,Invoice 100177
100052,Recipient 100052,DE00000000000000100052,382.23,USD,Invoice 100052
100631,Recipient 100631,DE00000000000000100631,645.02,EUR,Invoice 100631
100001,Recipient 100001,DE00000000000000100001,639.78,EUR,Invoice 100001
100718,Recipient 100718,DE00000000000000100718,9829.34,USD,Invoice 100718
100506,Recipient 100506,DE00000000000000100506,190.62,EUR,Invoice 100506
100938,Recipient 100938,DE00000000000000100938,17391.25,EUR,Invoice 100938
100660,Recipient 100660,DE00000000000000100660,947.71,USD,Invoice 100660
100857,Recipient 100857,DE00000000000000100857,6422.16,USD,Invoice 100857
100032,Recipient 100032,DE00000000000000100032,534.60,EUR,Invoice 100032
100377,Recipient 100377,DE00000000000000100377,455.37,USD,Invoice 100377
100118,Recipient 100118,DE00000000000000100118,851.48,EUR,Invoice 100118
100530,Recipient 100530,DE00000000000000100530,945.46,EUR,Invoice 100530
100430,Recipient 100430,DE00000000000000100430,434.53,EUR,Invoice 100430
100412,Recipient 100412,DE00000000000000100412,44.60,USD,Invoice 100412
100651,Recipient 100651,DE00000000000000100651,967.72,USD,Invoice 100651
100497,Recipient 100497,DE00000000000000100497,885.52,EUR,Invoice 100497
100639,Recipient 100639,DE00000000000000100639,505.04,EUR,Invoice 100639
100953,Recipient 100953,DE00000000000000100953,0.00,EUR,Invalid amount 100953
100175,Recipient 100175,DE00000000000000100175,399.06,USD,Invoice 100175
100229,Recipient 100229,DE00000000000000100229,627.12,USD,Invoice 100229
100520,Recipient 100520,DE00000000000000100520,661.39,EUR,Invoice 100520
100889,Recipient 100889,DE00000000000000100889,32323.47,EUR,Invoice 100889
100376,Recipient 100376,DE00000000000000100376,813.74,EUR,Invoice 100376
100067,Recipient 100067,DE00000000000000100067,20.46,USD,Invoice 100067
100846,Recipient 100846,DE00000000000000100846,7547.57,USD,Invoice 100846
100817,Recipient 100817,DE00000000000000100817,5346.50,USD,Invoice 100817
100791,Recipient 100791,DE00000000000000100791,5731.26,USD,Invoice 100791
100284,Recipient 100284,DE00000000000000100284,822.50,EUR,Invoice 100284
100492,Recipient 100492,DE00000000000000100492,117.00,EUR,Invoice 100492
100781,Recipient 100781,DE00000000000000100781,7406.27,EUR,Invoice 100781
100637,Recipient 100637,DE00000000000000100637,451.07,USD,Invoice 100637
100583,Recipient 100583,DE00000000000000100583,486.17,USD,Invoice 100583
100204,Recipient 100204,DE00000000000000100204,659.19,USD,Invoice 100204
100450,Recipient 100450,DE00000000000000100450,845.45,EUR,Invoice 100450
100514,Recipient 100514,DE00000000000000100514,586.79,EUR,Invoice 100514
100700,Recipient 100700,DE00000000000000100700,905.94,EUR,Invoice 100700
100542,Recipient 100542,DE00000000000000100542,454.26,USD,Invoice 100542
100002,Recipient 100002,DE00000000000000100002,741.80,EUR,Invoice 100002
100168,Recipient 100168,DE00000000000000100168,802.42,EUR,Invoice 100168
100711,Recipient 100711,DE00000000000000100711,4863.15,USD,Invoice 100711
100233,Recipient 100233,DE00000000000000100233,139.23,EUR,Invoice 100233
100837,Recipient 100837,DE00000000000000100837,5476.33,EUR,Invoice 100837
100455,Recipient 100455,DE00000000000000100455,22.92,USD,Invoice 100455
100652,Recipient 100652,DE00000000000000100652,129.82,EUR,Invoice 100652
100207,Recipient 100207,DE00000000000000100207,673.12,EUR,Invoice 100207
100736,Recipient 100736,DE00000000000000100736,8792.18,USD,Invoice 100736
100039,Recipient 100039,DE00000000000000100039,913.21,USD,Invoice 100039
100623,Recipient 100623,DE00000000000000100623,864.37,USD,Invoice 100623
100935,Recipient 100935,DE00000000000000100935,17019.80,USD,Invoice 100935
100930,Recipient 100930,DE00000000000000100930,20913.48,EUR,Invoice 100930
100601,Recipient 100601,DE00000000000000100601,921.23,USD,Invoice 100601
100404,Recipient 100404,DE00000000000000100404,726.32,USD,Invoice 100404
100420,Recipient 100420,DE00000000000000100420,410.56,EUR,Invoice 100420
100202,Recipient 100202,DE00000000000000100202,675.94,USD,Invoice 100202
100811,Recipient 100811,DE00000000000000100811,8427.12,EUR,Invoice 100811
100165,Recipient 100165,DE00000000000000100165,881.53,EUR,Invoice 100165
100936,Recipient 100936,DE00000000000000100936,43079.59,USD,Invoice 100936
100128,Recipient 100128,DE00000000000000100128,457.76,EUR,Invoice 100128
100068,Recipient 100068,DE00000000000000100068,878.83,USD,Invoice 100068
100621,Recipient 100621,DE00000000000000100621,464.48,USD,Invoice 100621
100142,Recipient 100142,DE00000000000000100142,273.07,EUR,Invoice 100142
100604,Recipient 100604,DE00000000000000100604,290.22,USD,Invoice 100604
100211,Recipient 100211,DE00000000000000100211,455.96,EUR,Invoice 100211
100375,Recipient 100375,DE00000000000000100375,288.93,USD,Invoice 100375
100996,Recipient 100996,DE00000000000000100996,4928.49,XXX,Invalid currency 100996
100855,Recipient 100855,DE00000000000000100855,6020.48,USD,Invoice 100855
100137,Recipient 100137,DE00000000000000100137,668.19,USD,Invoice 100137
100597,Recipient 100597,DE00000000000000100597,533.04,EUR,Invoice 100597
100149,Recipient 100149,DE00000000000000100149,4.54,EUR,Invoice 100149
100991,Recipient 100991,DE00000000000000100991,1171.57,XXX,Invalid currency 100991
100166,Recipient 100166,DE00000000000000100166,180.18,USD,Invoice 100166
100350,Recipient 100350,DE00000000000000100350,72.11,EUR,Invoice 100350
100793,Recipient 100793,DE00000000000000100793,2127.94,USD,Invoice 100793
100400,Recipient 100400,DE00000000000000100400,864.15,USD,Invoice 100400
100710,Recipient 100710,DE00000000000000100710,7466.89,USD,Invoice 100710
100273,Recipient 100273,DE00000000000000100273,579.10,USD,Invoice 100273
100319,Recipient 100319,DE00000000000000100319,180.26,EUR,Invoice 100319
100292,Recipient 100292,DE00000000000000100292,830.89,EUR,Invoice 100292
100770,Recipient 100770,DE00000000000000100770,3355.99,USD,Invoice 100770
100314,Recipient 100314,DE00000000000000100314,316.23,EUR,Invoice 100314
100662,Recipient 100662,DE00000000000000100662,155.79,USD,Invoice 100662
100531,Recipient 100531,DE00000000000000100531,727.51,USD,Invoice 100531
100490,Recipient 100490,DE00000000000000100490,140.64,EUR,Invoice 100490
100952,Recipient 100952,DE00000000000000100952,0.00,EUR,Invalid amount 100952
100431,Recipient 100431,DE00000000000000100431,760.60,EUR,Invoice 100431
100180,Recipient 100180,DE00000000000000100180,877.15,USD,Invoice 100180
100302,Recipient 100302,DE00000000000000100302,86.53,USD,Invoice 100302
100535,Recipient 100535,DE00000000000000100535,686.40,USD,Invoice 100535
100122,Recipient 100122,DE00000000000000100122,619.76,USD,Invoice 100122
100555,Recipient 100555,DE00000000000000100555,586.87,USD,Invoice 100555
100697,Recipient 100697,DE00000000000000100697,696.37,EUR,Invoice 100697
100045,Recipient 100045,DE00000000000000100045,897.92,USD,Invoice 100045
100964,Recipient 100964,,4930.70,USD,Missing iban 100964
100439,Recipient 100439,DE00000000000000100439,609.88,USD,Invoice 100439
100381,Recipient 100381,DE00000000000000100381,658.00,USD,Invoice 100381
100798,Recipient 100798,DE00000000000000100798,4893.56,EUR,Invoice 100798
100858,Recipient 100858,DE00000000000000100858,5500.70,EUR,Invoice 100858
100127,Recipient 100127,DE00000000000000100127,131.75,USD,Invoice 100127
100703,Recipient 100703,DE00000000000000100703,2000.68,USD,Invoice 100703
100218,Recipient 100218,DE00000000000000100218,51.17,EUR,Invoice 100218
100913,Recipient 100913,DE00000000000000100913,40236.44,USD,Invoice 100913
100692,Recipient 100692,DE00000000000000100692,375.53,EUR,Invoice 100692
100226,Recipient 100226,DE00000000000000100226,450.62,EUR,Invoice 100226
100022,Recipient 100022,DE00000000000000100022,577.77,EUR,Invoice 100022
100737,Recipient 100737,DE00000000000000100737,3458.95,USD,Invoice 100737
100444,Recipient 100444,DE00000000000000100444,899.00,USD,Invoice 100444
100279,Recipient 100279,DE00000000000000100279,796.42,EUR,Invoice 100279
100961,Recipient 100961,,227.40,USD,Missing iban 100961
100976,Recipient 100976,,3367.83,USD,Missing iban 100976
100905,Recipient 100905,DE00000000000000100905,19698.32,EUR,Invoice 100905
100756,Recipient 100756,DE00000000000000100756,9575.10,EUR,Invoice 100756
100746,Recipient 100746,DE00000000000000100746,1923.38,USD,Invoice 100746
100797,Recipient 100797,DE00000000000000100797,7910.03,EUR,Invoice 100797
100550,Recipient 100550,DE00000000000000100550,953.63,USD,Invoice 100550
100359,Recipient 100359,DE00000000000000100359,942.72,USD,Invoice 100359
100425,Recipient 100425,DE00000000000000100425,954.18,USD,Invoice 100425
100862,Recipient 100862,DE00000000000000100862,3951.69,USD,Invoice 100862
100686,Recipient 100686,DE00000000000000100686,831.21,EUR,Invoice 100686
100392,Recipient 100392,DE00000000000000100392,461.98,EUR,Invoice 100392
100116,Recipient 100116,DE00000000000000100116,503.34,EUR,Invoice 100116
100825,Recipient 100825,DE00000000000000100825,9778.36,EUR,Invoice 100825
100726,Recipient 100726,DE00000000000000100726,9827.36,USD,Invoice 100726
100622,Recipient 100622,DE00000000000000100622,681.45,USD,Invoice 100622
100113,Recipient 100113,DE00000000000000100113,579.60,EUR,Invoice 100113
100922,Recipient 100922,DE00000000000000100922,41518.43,EUR,Invoice 100922
100904,Recipient 100904,DE00000000000000100904,15490.92,EUR,Invoice 100904
100043,Recipient 100043,DE00000000000000100043,247.38,USD,Invoice 100043
100966,Recipient 100966,,900.73,EUR,Missing iban 100966
100454,Recipient 100454,DE00000000000000100454,992.69,USD,Invoice 100454
100536,Recipient 100536,DE00000000000000100536,712.68,USD,Invoice 100536
100499,Recipient 100499,DE00000000000000100499,939.10,USD,Invoice 100499
100821,Recipient 100821,DE00000000000000100821,5179.97,USD,Invoice 100821
100861,Recipient 100861,DE00000000000000100861,2340.46,EUR,Invoice 100861
100351,Recipient 100351,DE00000000000000100351,923.98,EUR,Invoice 100351
100910,Recipient 100910,DE00000000000000100910,10207.26,EUR,Invoice 100910
100254,Recipient 100254,DE00000000000000100254,379.72,EUR,Invoice 100254
100695,Recipient 100695,DE00000000000000100695,791.58,EUR,Invoice 100695
100562,Recipient 100562,DE00000000000000100562,225.02,EUR,Invoice 100562
100716,Recipient 100716,DE00000000000000100716,4514.08,USD,Invoice 100716
100397,Recipient 100397,DE00000000000000100397,980.25,EUR,Invoice 100397
100100,Recipient 100100,DE00000000000000100100,422.46,USD,Invoice 100100
100822,Recipient 100822,DE00000000000000100822,6459.94,USD,Invoice 100822
100863,Recipient 100863,DE00000000000000100863,2462.52,USD,Invoice 100863
100005,Recipient 100005,DE00000000000000100005,590.90,EUR,Invoice 100005
100728,Recipient 100728,DE00000000000000100728,1567.90,USD,Invoice 100728
100679,Recipient 100679,DE00000000000000100679,801.45,EUR,Invoice 100679
100318,Recipient 100318,DE00000000000000100318,296.95,USD,Invoice 100318
